'a'bo'cun 阿波村
'a'bo'ding 阿波町
'a'dong'ding 阿东町
'a'er'ding 阿児町
'a'han'ding 阿寒町
'a'jiu'bi'ding 阿久比町
'a'jiu'gen'shi 阿久根市
'a'nan'ding 阿南町
'a'nan'shi 阿南市
'a'ren'ding 阿仁町
'a'shan'ding 阿山町
'a'su'ding 阿苏町
'a'wu'ding 阿武町
'a'zhi'cun 阿智村
'a'zhi'xu'ding 阿知须町
'ai'bie'ding 爱别町
'ai'dong'ding 爱东町
'ai'jia'jun 爱甲郡
'ai'ye'ding 爱野町
'ai'yuan'xian 爱媛县
'ai'zhi'chuan'ding 爱知川町
'ai'zhi'xian 爱知县
'an'ba'ding 安八町
'an'ben'ding 岸本町
'an'cheng'shi 安城市
'an'da'ding 安达町
'an'dai'ding 安代町
'an'du'ding 安堵町
'an'fang'jun 安房郡
'an'fu'ding 安富町
'an'he'tian'shi 岸和田市
'an'lai'shi 安来市
'an'nong'ding 安浓町
'an'pu'ding 安浦町
'an'qi'ding 安岐町
'an'shou'ding 鞍手町
'an'su'jun 安苏郡
'an'tan'chuan'ding 安昙川町
'an'tan'cun 安昙村
'an'tian'ding 安田町
'an'tu'ding 安土町
'an'xin'yuan'ding 安心院町
'an'yun'jin'ding 安芸津町
'an'yun'shi 安芸市
'an'zhi'ding 庵治町
'an'zhong'ding 安塚町
'an'zhong'shi 安中市
'ao'duo'mo'ding 奥多摩町
'ao'jin'ding 奥津町
'ao'kao'ding 奥尻町
'ba'bai'jin'ding 八百津町
'ba'ban'cun 八坂村
'ba'chao'shi 八潮市
'ba'dai'ding 八代町
'ba'dai'shi 八代市
'ba'dong'ding 八东町
'ba'fan'bang'shi 八幡浜市
'ba'fan'ding 八幡町
'ba'fan'shi 八幡市
'ba'hu'shi 八戸市
'ba'jie'shi 八街市
'ba'kai'cun 八开村
'ba'lang'xi'ding 八郎潟町
'ba'long'ding 八竜町
'ba'lu'ding 八鹿町
'ba'mu'ding 八木町
'ba'nv'shi 八女市
'ba'qian'dai'ding 八千代町
'ba'qian'dai'shi 八千代市
'ba'qian'sui'cun 八千穂村
'ba'ri'shi'chang'shi 八日市场市
'ba'ri'shi'shi 八日市市
'ba'sen'ding 八森町
'ba'shu'cun 八束村
'ba'shu'ding 八束町
'ba'tian'cun 八田村
'ba'wang'zi'shi 八王子市
'ba'wei'ding 八尾町
'ba'yun'cun 八云村
'ba'yun'ding 八云町
'bai'bang'ding 白浜町
'bai'chuan'cun 白川村
'bai'chuan'ding 白川町
'bai'cun 柏村
'bai'feng'cun 白峰村
'bai'gen'ding 白根町
'bai'gen'shi 白根市
'bai'he'shi 白河市
'bai'kang'ding 白糠町
'bai'lao'ding 白老町
'bai'long'cun 白滝村
'bai'ma'cun 白马村
'bai'niao'ding 白鸟町
'bai'qi'shi 柏崎市
'bai'shan'ding 白山町
'bai'shi 柏市
'bai'shi'ding 白石町
'bai'shi'ding 百石町
'bai'shi'shi 白石市
'bai'shui'cun 白水村
'bai'ying'ding 白鹰町
'bai'ze'cun 白沢村
'bai'zhou'ding 白州町
'ban'bei'cun 坂北村
'ban'ben'cun 坂本村
'ban'cang'ding 板仓町
'ban'cheng'ding 坂城町
'ban'chu'shi 坂出市
'ban'ding 坂町
'ban'hu'shi 坂戸市
'ban'jing'cun 坂井村
'ban'jing'ding 坂井町
'ban'jiu'ding 斑鸠町
'ban'liu'ding 板柳町
'ban'nan'shi 坂南市
'ban'nei'cun 坂内村
'ban'qiao'qu 板桥区
'ban'qu'cun 板取村
'ban'tian'ding 半田町
'ban'tian'shi 半田市
'ban'xia'ding 坂下町
'ban'ye'ding 板野町
'ban'zhu'ding 坂祝町
'bang'ban'ding 浜坂町
'bang'bei'shi 浜北市
'bang'dao'ding 浜岛町
'bang'dun'bie'ding 浜顿别町
'bang'gang'ding 浜冈町
'bang'song'shi 浜松市
'bang'tian'shi 浜田市
'bang'yi'cun 浜益村
'bang'yu'ding 浜玉町
'bang'zhong'ding 浜中町
'bao'nei'ding 保内町
'bao'tu'gu'qu 保土谷区
'bao'yuan'ding 保原町
'bao'zhong'shi 宝塚市
'bao'zhu'shan'cun 宝珠山村
'bei'ben'shi 北本市
'bei'bo'duo'cun 北波多村
'bei'chuan'cun 北川村
'bei'chuan'ding 北川町
'bei'ci'cheng'shi 北茨城市
'bei'cun 北村
'bei'da'dong'cun 北大东村
'bei'dan'ding 北澹町
'bei'dao'ding 北岛町
'bei'fang'ding 北房町
'bei'fang'ding 北方町
'bei'ge'shi'jun 北葛饰郡
'bei'gu'ding 北谷町
'bei'guang'dao'shi 北広岛市
'bei'gui'shan'ding 北桧山町
'bei'hai'dao 北海道
'bei'hui'jin'cun 北会津村
'bei'jian'shi 北见市
'bei'jiu'zhou'shi 北九州市
'bei'long'ding 北竜町
'bei'mao'an'ding 北茂安町
'bei'pu'ding 北浦町
'bei'qi'yu'jun 北埼玉郡
'bei'qian'shi 备前市
'bei'qu 北区
'bei'qun'ma'jun 北群马郡
'bei'shan'cun 北山村
'bei'shang'ding 北上町
'bei'shang'shi 北上市
'bei'shi'ding 北势町
'bei'tiao'ding 北条町
'bei'tiao'shi 北条市
'bei'xiang'cun 北郷村
'bei'xiang'ding 北郷町
'bei'xiang'ma'jun 北相马郡
'bei'xiang'mu'cun 北相木村
'bei'yan'yuan'cun 北塩原村
'bei'ye'ding 北野町
'bei'you'ma'ding 北有马町
'bei'yu'mu'cun 北御牧村
'bei'zhong'cheng'cun 北中城村
'bei'zhong'ding 备中町
'bei'zhong'shi 贝塚市
'bei'zu'li'jun 北足立郡
'ben'bie'ding 本别町
'ben'bu'ding 本部町
'ben'chao'ding 本巣町
'ben'cheng'cun 本城村
'ben'chuan'cun 本川村
'ben'chuan'gen'ding 本川根町
'ben'du'shi 本渡市
'ben'gong'ding 本宫町
'ben'ji'ding 本吉町
'ben'jiang'cun 本匠村
'ben'shan'ding 本山町
'ben'xiang'cun 本郷村
'ben'xiang'ding 本郷町
'ben'ye'ma'xi'ding 本耶马溪町
'ben'zhuang'shi 本庄市
'ben'zhuang'shi 本荘市
'bi'bu'ding 比布町
'bi'he'ding 比和町
'bi'nan'shi 碧南市
'bi'nei'ding 比内町
'bi'qi'jun 比企郡
'biao'cha'ding 标茶町
'biao'jin'ding 标津町
'biao'xiang'cun 表郷村
'bie'fu'shi 别府市
'bie'hai'ding 别海町
'bie'zi'shan'cun 别子山村
'bing'jian'shi 氷见市
'bing'ku'xian 兵库县
'bing'shang'ding 氷上町
'bo'cun 泊村
'bo'cun'gu'yu'jun 泊村古宇郡
'bo'fang'ding 伯方町
'bo'fang'ding 波方町
'bo'he'ding 波贺町
'bo'jiang'shi 狛江市
'bo'mo'ding 播磨町
'bo'tai'ding 伯太町
'bo'tian'ding 波田町
'bo'ye'cun 波野村
'bo'yuan'ding 柏原町
'bo'yuan'shi 柏原市
'bo'zuo'jian'ding 波佐见町
'bu'jin'ding 布津町
'bu'shi'cun 布施村
'bu'ye'cun 布野村
'bu'zhi'huo'ding 不知火町
'cai'bu'ding 财部町
'cai'tian'ding 财田町
'cang'fu'shi 仓敷市
'cang'ji'shi 仓吉市
'cang'qiao'ding 仓桥町
'cang'shi'cun 仓石村
'cang'wang'ding 蔵王町
'cang'yue'ding 仓岳町
'cao'jia'shi 草加市
'cao'jin'shi 草津市
'ceng'er'cun 曽尔村
'cha'jian'ding 诧间町
'chai'tian'ding 柴田町
'chan'shan'cun 産山村
'chang'ban'ding 长坂町
'chang'bang'ding 长浜町
'chang'bang'shi 长浜市
'chang'chuan'ding 长船町
